time,durable_step,current_step,furthest_step,steps_at_risk,train_loss,tokens_b,nodes_training,nodes_lost,replacements,below_full_world,degraded_band,goodput,ms_per_step,ms_per_step_typical,whole_group_restarts,usd,usd_per_1k,supervisor_up
1786338952875,1219,1240,1240,21,4.2044,0.609485,8,1,1,0,,0.0,1746,1761,0,6.8091,5.4912,1
1786338970372,1219,1250,1250,31,4.197,0.6144,8,1,1,0,,0.0,1750,1757,0,6.8482,5.4785,1
1786338987776,1219,1260,1260,41,4.1931,0.619315,8,1,1,0,,0.0,1740,1755,0,6.8871,5.4659,1
1786339005200,1219,1270,1270,51,4.2049,0.62423,8,1,1,0,,0.0,1742,1755,0,6.926,5.4536,1
1786339038999,1272,1280,1280,8,4.1799,0.629146,8,1,1,0,,0.0,3380,1757,0,7.0016,5.47,1
1786339056610,1272,1290,1290,18,4.1669,0.634061,8,1,1,0,,0.0,1761,1761,0,7.041,5.4581,1
1786339074002,1272,1300,1300,28,4.16,0.638976,8,1,1,0,,0.0,1739,1761,0,7.0799,5.446,1
1786339091557,1272,1310,1310,38,4.1418,0.643891,8,1,1,0,,0.0,1755,1757,0,7.1191,5.4344,1
1786339109066,1272,1320,1320,48,4.1284,0.648806,8,1,1,0,,0.0,1751,1755,0,7.1582,5.4229,1
1786339140756,1323,1330,1330,7,4.1168,0.653722,8,1,1,0,,0.0,3169,1761,0,7.2291,5.4354,1
1786339160118,1323,1340,1340,17,4.0883,0.658637,8,1,1,0,,0.0,1936,1765,0,7.2724,5.4271,1
1786339177566,1323,1350,1350,27,4.1167,0.663552,8,1,1,0,,0.0,1745,1765,0,7.3114,5.4158,1
1786339195252,1323,1360,1360,37,4.0942,0.668467,8,1,1,0,,0.0,1769,1765,0,7.3509,5.4051,1
1786339212698,1323,1370,1370,47,4.0981,0.673382,8,1,1,0,,0.0,1745,1765,0,7.3899,5.3941,1
1786339241684,1323,1380,1380,57,4.0823,0.678298,8,1,1,0,,0.0,2899,1761,0,7.4547,5.402,1
1786339264009,1375,1390,1390,15,4.0613,0.683213,8,1,1,0,,0.0,2232,1755,0,7.5046,5.399,1
1786339281427,1375,1400,1400,25,4.0829,0.688128,8,1,1,0,,0.0,1742,1755,0,7.5436,5.3883,1
1786339298812,1375,1410,1410,35,4.0789,0.693043,8,1,1,0,,0.0,1738,1761,0,7.5824,5.3776,1
1786339316223,1375,1420,1420,45,4.079,0.697958,8,1,1,0,,0.0,1741,1765,0,7.6214,5.3671,1
1786339345373,1375,1430,1430,55,4.0017,0.702874,8,1,1,0,,0.0,2915,1765,0,7.6865,5.3752,1
1786339367460,1426,1440,1440,14,4.0375,0.707789,8,1,1,0,,0.0,2209,1761,0,7.7359,5.3722,1
1786339385108,1426,1450,1450,24,4.0363,0.712704,8,1,1,0,,0.0,1765,1755,0,7.7753,5.3623,1
1786339402540,1426,1460,1460,34,4.0806,0.717619,8,1,1,0,,0.0,1743,1765,0,7.8143,5.3523,1
1786339419934,1426,1470,1470,44,4.0449,0.722534,8,1,1,0,,0.0,1739,1767,0,7.8532,5.3423,1
1786339448787,1426,1480,1480,54,4.0384,0.72745,8,1,1,0,,0.0,2885,1767,0,7.9177,5.3498,1
